experiment_id,experiment_name,project,hypothesis,description,tags,owner,date_created,date_updated,archived,status,auto_refresh,hash_attribute,hash_version,variations,control_group_id,phases_info,result_status,winner
exp_19g62cm48g6aly,app_bot_rs_bpr_item_exp,,,,,u_19g623lvbzyq4x,2024-12-03T12:40:36.407Z,2024-12-12T14:40:04.544Z,False,stopped,True,userId,2,2,0,Main (2024-12-09T00:00:00.000Z - 2024-12-10T00:00:00.000Z),won,var_m48g6a7q
exp_19g61wm48lu4i1,stable-mobile-chat-watch-1,,,,,u_19g61mlrimu101,2024-12-03T15:19:06.313Z,2024-12-03T15:19:06.313Z,False,running,True,userId,2,2,0,Main (2024-12-03T15:19:00.000Z - ),,
exp_19g62cm48lu9wm,stable-mobile-chat-watch-1,,,,,u_19g61mlrimu101,2024-12-03T15:19:13.318Z,2025-01-22T14:57:40.826Z,False,running,False,userId,2,2,0,Main (2024-12-03T15:19:00.000Z - 2025-01-07T07:34:19.027Z); Main (2025-01-07T07:34:19.027Z - ),,
exp_19g62cm48lud42,stable-mobile-chat-watch-1,,,,,u_19g61mlrimu101,2024-12-03T15:19:17.474Z,2024-12-03T15:19:17.474Z,False,running,True,userId,2,2,0,Main (2024-12-03T15:19:00.000Z - ),,
exp_19g61xm49q26z1,mobile-non-claude-10,,,,,u_19g61mlrimu101,2024-12-04T10:05:07.405Z,2024-12-16T14:17:52.310Z,False,stopped,True,userId,2,5,0,Main (2024-12-04T10:05:00.000Z - 2024-12-04T10:11:20.824Z); Main (2024-12-04T10:11:20.824Z - 2024-12-04T10:26:49.359Z); Main (2024-12-04T10:26:49.359Z - 2024-12-04T10:31:31.520Z); Main (2024-12-04T10:31:31.520Z - 2024-12-04T10:32:40.537Z); Main (2024-12-04T10:32:40.537Z - 2024-12-04T10:39:24.420Z); Main (2024-12-04T10:39:24.420Z - 2024-12-04T12:51:23.115Z); Main (2024-12-04T12:51:23.115Z - 2024-12-04T12:53:22.294Z); Main (2024-12-04T12:53:22.294Z - 2024-12-04T12:58:53.756Z); Main (2024-12-04T12:58:00.000Z - 2024-12-05T11:27:40.261Z); Main (2024-12-05T11:27:40.261Z - 2024-12-06T06:40:21.255Z); Main (2024-12-06T06:40:00.000Z - 2024-12-09T07:56:38.153Z); Main (2024-12-09T07:56:00.000Z - 2024-12-16T14:17:00.000Z),dnf,
exp_19g61wm4b24nhd,app_tags_gender_boost_exp,,,,"mobile, recommendation",u_19g623lvbzyq4x,2024-12-05T08:30:43.681Z,2024-12-09T13:26:25.527Z,False,stopped,True,userId,2,2,0,Main (2024-12-05T08:30:00.000Z - 2024-12-09T13:26:00.000Z),inconclusive,
exp_19g62cm4hvbzlo,app_bot_tag_filter_rank_exp,,,,"mobile, recommendation",u_19g623lvbzyq4x,2024-12-10T02:54:51.900Z,2025-02-06T07:45:18.561Z,False,running,False,userId,2,2,0,Main (2024-12-17T00:00:00.000Z - ),,
exp_19g61wm4hwmvr7,mobile-image-chat,,,,,u_19g61mlrimu101,2024-12-10T03:31:19.748Z,2025-01-04T06:32:43.950Z,False,stopped,True,userId,2,2,0,Main (2024-12-10T03:31:00.000Z - 2024-12-10T03:32:21.297Z); Main (2024-12-10T03:32:21.297Z - 2024-12-19T04:53:26.971Z); Main (2024-12-19T04:53:26.971Z - 2024-12-19T04:53:59.866Z); Main (2024-12-19T04:53:59.866Z - 2024-12-25T08:06:18.769Z); Main (2024-12-25T08:06:18.769Z - 2024-12-25T08:12:51.246Z); Main (2024-12-25T08:12:51.246Z - 2024-12-25T08:51:36.164Z); Main (2024-12-25T08:51:36.164Z - 2024-12-25T09:25:50.596Z); Main (2024-12-25T09:25:00.000Z - 2025-01-04T06:32:00.000Z),dnf,
exp_19g61wm4mdzh5o,mobile-ads-exp,,,https://bve02qpem9j.feishu.cn/wiki/W5GLwiDVpiRXhlkdv04cFMejnlY,mobie,u_19g61wm2mcdf4r,2024-12-13T06:48:05.532Z,2025-01-13T07:19:51.036Z,False,stopped,True,userId,2,8,0,Main (2024-12-13T06:48:00.000Z - 2024-12-20T03:58:08.791Z); Main (2024-12-26T00:00:00.000Z - 2025-01-08T03:29:00.000Z),inconclusive,
exp_19g61wm4me4qh4,gbdemo-checkout-layout,prj_org_19g61olo59f9lq_demo-datasource-project,We predict new variations will increase Purchase metrics and have uncertain effects on Retention.,"**THIS IS A DEMO EXPERIMENT USED FOR DEMONSTRATION PURPOSES ONLY**

Experiment to test impact of checkout cart design.
Both variations move the ""Proceed to checkout"" button to a single table, but with different
spacing and headings.",growthbook-demo,,2024-12-13T06:52:10.888Z,2025-01-09T09:41:57.093Z,False,running,False,id,2,3,0,Main (2024-11-13T06:52:10.888Z - ),,
