dt,day,variation,users,retained,retention_rate,ci_lower,ci_upper,control_rate,exp_rate,uplift,uplift_ci_lower,uplift_ci_upper,z_score,p_value,retention_rate_baseline
2024-12-17,1,None,9292,3200,0.3444,0.3347,0.354,0.6052,0.3444,-0.4309,-0.5098,-0.352,-11.1962,0.0,0.6052
2024-12-17,2,None,9292,2331,0.2509,0.242,0.2597,0.4534,0.2509,-0.4466,-0.5528,-0.3404,-8.5739,0.0,0.4534
2024-12-17,3,None,9292,1961,0.211,0.2027,0.2193,0.3536,0.211,-0.4033,-0.5328,-0.2737,-6.2915,0.0,0.3536
2024-12-17,4,None,9292,1726,0.1858,0.1778,0.1937,0.3124,0.1858,-0.4052,-0.5472,-0.2633,-5.7651,0.0,0.3124
2024-12-17,5,None,9292,1564,0.1683,0.1607,0.1759,0.3015,0.1683,-0.4418,-0.5879,-0.2957,-6.1317,0.0,0.3015
2024-12-17,6,None,9292,1502,0.1616,0.1542,0.1691,0.269,0.1616,-0.3993,-0.5567,-0.2418,-5.1135,0.0,0.269
2024-12-17,7,None,9292,1403,0.151,0.1437,0.1583,0.2516,0.151,-0.3998,-0.5645,-0.2352,-4.8957,0.0,0.2516
2024-12-17,8,None,9292,1324,0.1425,0.1354,0.1496,0.2321,0.1425,-0.386,-0.5594,-0.2127,-4.4813,0.0,0.2321
2024-12-17,9,None,9292,1399,0.1506,0.1433,0.1578,0.2364,0.1506,-0.3629,-0.534,-0.1919,-4.2617,0.0,0.2364
2024-12-17,10,None,9292,1380,0.1485,0.1413,0.1557,0.2234,0.1485,-0.3353,-0.5123,-0.1582,-3.793,0.0001,0.2234
2024-12-17,11,None,9292,1279,0.1376,0.1306,0.1447,0.2039,0.1376,-0.3252,-0.5126,-0.1377,-3.4708,0.0005,0.2039
2024-12-17,12,None,9292,1190,0.1281,0.1213,0.1349,0.1887,0.1281,-0.3211,-0.5177,-0.1246,-3.2668,0.0011,0.1887
2024-12-17,13,None,9292,1216,0.1309,0.124,0.1377,0.1866,0.1309,-0.2985,-0.4962,-0.1008,-3.0142,0.0026,0.1866
2024-12-17,14,None,9292,1167,0.1256,0.1189,0.1323,0.1887,0.1256,-0.3344,-0.5311,-0.1377,-3.4026,0.0007,0.1887
2024-12-17,15,None,9292,1055,0.1135,0.1071,0.12,0.1649,0.1135,-0.3117,-0.5248,-0.0986,-2.9215,0.0035,0.1649
2024-12-17,1,None,9292,3200,0.3444,0.3347,0.354,0.6052,0.3444,-0.4309,-0.5098,-0.352,-11.1962,0.0,0.6052
2024-12-17,2,None,9292,2331,0.2509,0.242,0.2597,0.4534,0.2509,-0.4466,-0.5528,-0.3404,-8.5739,0.0,0.4534
2024-12-17,3,None,9292,1961,0.211,0.2027,0.2193,0.3536,0.211,-0.4033,-0.5328,-0.2737,-6.2915,0.0,0.3536
2024-12-17,4,None,9292,1726,0.1858,0.1778,0.1937,0.3124,0.1858,-0.4052,-0.5472,-0.2633,-5.7651,0.0,0.3124
2024-12-17,5,None,9292,1564,0.1683,0.1607,0.1759,0.3015,0.1683,-0.4418,-0.5879,-0.2957,-6.1317,0.0,0.3015
2024-12-17,6,None,9292,1502,0.1616,0.1542,0.1691,0.269,0.1616,-0.3993,-0.5567,-0.2418,-5.1135,0.0,0.269
2024-12-17,7,None,9292,1403,0.151,0.1437,0.1583,0.2516,0.151,-0.3998,-0.5645,-0.2352,-4.8957,0.0,0.2516
2024-12-17,8,None,9292,1324,0.1425,0.1354,0.1496,0.2321,0.1425,-0.386,-0.5594,-0.2127,-4.4813,0.0,0.2321
2024-12-17,9,None,9292,1399,0.1506,0.1433,0.1578,0.2364,0.1506,-0.3629,-0.534,-0.1919,-4.2617,0.0,0.2364
2024-12-17,10,None,9292,1380,0.1485,0.1413,0.1557,0.2234,0.1485,-0.3353,-0.5123,-0.1582,-3.793,0.0001,0.2234
2024-12-17,11,None,9292,1279,0.1376,0.1306,0.1447,0.2039,0.1376,-0.3252,-0.5126,-0.1377,-3.4708,0.0005,0.2039
2024-12-17,12,None,9292,1190,0.1281,0.1213,0.1349,0.1887,0.1281,-0.3211,-0.5177,-0.1246,-3.2668,0.0011,0.1887
2024-12-17,13,None,9292,1216,0.1309,0.124,0.1377,0.1866,0.1309,-0.2985,-0.4962,-0.1008,-3.0142,0.0026,0.1866
2024-12-17,14,None,9292,1167,0.1256,0.1189,0.1323,0.1887,0.1256,-0.3344,-0.5311,-0.1377,-3.4026,0.0007,0.1887
2024-12-17,15,None,9292,1055,0.1135,0.1071,0.12,0.1649,0.1135,-0.3117,-0.5248,-0.0986,-2.9215,0.0035,0.1649
2024-12-17,1,None,9292,3200,0.3444,0.3347,0.354,0.6052,0.3444,-0.4309,-0.5098,-0.352,-11.1962,0.0,0.6052
2024-12-17,2,None,9292,2331,0.2509,0.242,0.2597,0.4534,0.2509,-0.4466,-0.5528,-0.3404,-8.5739,0.0,0.4534
2024-12-17,3,None,9292,1961,0.211,0.2027,0.2193,0.3536,0.211,-0.4033,-0.5328,-0.2737,-6.2915,0.0,0.3536
2024-12-17,4,None,9292,1726,0.1858,0.1778,0.1937,0.3124,0.1858,-0.4052,-0.5472,-0.2633,-5.7651,0.0,0.3124
2024-12-17,5,None,9292,1564,0.1683,0.1607,0.1759,0.3015,0.1683,-0.4418,-0.5879,-0.2957,-6.1317,0.0,0.3015
2024-12-17,6,None,9292,1502,0.1616,0.1542,0.1691,0.269,0.1616,-0.3993,-0.5567,-0.2418,-5.1135,0.0,0.269
2024-12-17,7,None,9292,1403,0.151,0.1437,0.1583,0.2516,0.151,-0.3998,-0.5645,-0.2352,-4.8957,0.0,0.2516
2024-12-17,8,None,9292,1324,0.1425,0.1354,0.1496,0.2321,0.1425,-0.386,-0.5594,-0.2127,-4.4813,0.0,0.2321
2024-12-17,9,None,9292,1399,0.1506,0.1433,0.1578,0.2364,0.1506,-0.3629,-0.534,-0.1919,-4.2617,0.0,0.2364
