dt,day,variation,users,retained,retention_rate,ci_lower,ci_upper
2024-12-17,1,None,9292,3200,0.3444,0.3347,0.354
2024-12-17,2,None,9292,2331,0.2509,0.242,0.2597
2024-12-17,3,None,9292,1961,0.211,0.2027,0.2193
2024-12-17,4,None,9292,1726,0.1858,0.1778,0.1937
2024-12-17,5,None,9292,1564,0.1683,0.1607,0.1759
2024-12-17,6,None,9292,1502,0.1616,0.1542,0.1691
2024-12-17,7,None,9292,1403,0.151,0.1437,0.1583
2024-12-17,8,None,9292,1324,0.1425,0.1354,0.1496
2024-12-17,9,None,9292,1399,0.1506,0.1433,0.1578
2024-12-17,10,None,9292,1380,0.1485,0.1413,0.1557
2024-12-17,11,None,9292,1279,0.1376,0.1306,0.1447
2024-12-17,12,None,9292,1190,0.1281,0.1213,0.1349
2024-12-17,13,None,9292,1216,0.1309,0.124,0.1377
2024-12-17,14,None,9292,1167,0.1256,0.1189,0.1323
2024-12-17,15,None,9292,1055,0.1135,0.1071,0.12
2024-12-17,1,None,9292,3200,0.3444,0.3347,0.354
2024-12-17,2,None,9292,2331,0.2509,0.242,0.2597
2024-12-17,3,None,9292,1961,0.211,0.2027,0.2193
2024-12-17,4,None,9292,1726,0.1858,0.1778,0.1937
2024-12-17,5,None,9292,1564,0.1683,0.1607,0.1759
2024-12-17,6,None,9292,1502,0.1616,0.1542,0.1691
2024-12-17,7,None,9292,1403,0.151,0.1437,0.1583
2024-12-17,8,None,9292,1324,0.1425,0.1354,0.1496
2024-12-17,9,None,9292,1399,0.1506,0.1433,0.1578
2024-12-17,10,None,9292,1380,0.1485,0.1413,0.1557
2024-12-17,11,None,9292,1279,0.1376,0.1306,0.1447
2024-12-17,12,None,9292,1190,0.1281,0.1213,0.1349
2024-12-17,13,None,9292,1216,0.1309,0.124,0.1377
2024-12-17,14,None,9292,1167,0.1256,0.1189,0.1323
2024-12-17,15,None,9292,1055,0.1135,0.1071,0.12
2024-12-17,1,None,9292,3200,0.3444,0.3347,0.354
2024-12-17,2,None,9292,2331,0.2509,0.242,0.2597
2024-12-17,3,None,9292,1961,0.211,0.2027,0.2193
2024-12-17,4,None,9292,1726,0.1858,0.1778,0.1937
2024-12-17,5,None,9292,1564,0.1683,0.1607,0.1759
2024-12-17,6,None,9292,1502,0.1616,0.1542,0.1691
